0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-12088.0,-7940.0,-9280.0,-1901.0,-9207.0,-5430.0,-5964.0,-4484.0,16840.0,6446.0,-8213.0,11017.0,8636.0,13468.0,7416.0,-2769.0,13276.0,7357.0
-11512.0,-8544.0,-7540.0,-3001.0,-10697.0,-5128.0,-2872.0,-5692.0,15164.0,6572.0,-8356.0,11024.0,7712.0,11500.0,9820.0,-4983.0,15736.0,6543.0
-11828.0,-8904.0,-7988.0,-3165.0,-8727.0,-4696.0,-4360.0,-3856.0,17824.0,7512.0,-7261.0,11318.0,6792.0,13332.0,10632.0,-4315.0,15733.0,7040.0
-11052.0,-9084.0,-7840.0,-2477.0,-10046.0,-3953.0,-5360.0,-2696.0,17412.0,5550.0,-7144.0,9850.0,8664.0,12464.0,9028.0,-2927.0,11755.0,6631.0
-11032.0,-9100.0,-7944.0,-1151.0,-9046.0,-3424.0,-6812.0,-2028.0,16956.0,5002.0,-6023.0,6673.0,8564.0,12792.0,8236.0,-2370.0,8157.0,4465.0
-11252.0,-9436.0,-7808.0,461.0,-8757.0,-2722.0,-4912.0,-3736.0,17460.0,4363.0,-5213.0,4418.0,7316.0,13424.0,9468.0,-3362.0,5988.0,3040.0
-11728.0,-9028.0,-8448.0,-351.0,-9140.0,-2868.0,-2236.0,-5628.0,17668.0,3427.0,-5156.0,5201.0,6656.0,12140.0,9840.0,-2872.0,7367.0,3049.0
-11872.0,-10196.0,-7644.0,-390.0,-8704.0,-2606.0,-3560.0,-4048.0,16696.0,3673.0,-4525.0,5583.0,5528.0,13456.0,10372.0,-3208.0,7821.0,3574.0
-11388.0,-9932.0,-6304.0,-86.0,-9010.0,-1726.0,-3400.0,-3532.0,15936.0,4421.0,-4062.0,4459.0,7072.0,11740.0,9624.0,-3916.0,6930.0,3659.0
-11324.0,-9304.0,-5980.0,1695.0,-6926.0,-1163.0,-4632.0,-1096.0,16416.0,5076.0,-3595.0,3007.0,8024.0,10628.0,10512.0,-5071.0,5902.0,2607.0
-11144.0,-7912.0,-5456.0,2891.0,-5003.0,-867.0,-6088.0,-432.0,15816.0,4378.0,-3590.0,477.0,8536.0,10824.0,7960.0,-6055.0,5556.0,1027.0
-11352.0,-7140.0,-5768.0,4213.0,-4631.0,-1140.0,-4688.0,-2160.0,13864.0,3948.0,-4429.0,-23.0,6948.0,10452.0,9224.0,-5413.0,4616.0,-342.0
-11236.0,-5764.0,-5900.0,3228.0,-4124.0,-1012.0,-1636.0,-3716.0,15336.0,3645.0,-3875.0,1422.0,6728.0,9092.0,9736.0,-7510.0,4702.0,1256.0
-11312.0,-6408.0,-7140.0,1606.0,-4318.0,-1485.0,-4196.0,-1064.0,15312.0,3460.0,-3624.0,3281.0,7160.0,9964.0,10404.0,-2621.0,5733.0,2075.0
-11172.0,-7248.0,-6488.0,1575.0,-2080.0,-1559.0,-6384.0,-768.0,16356.0,1671.0,-2949.0,1979.0,8448.0,10852.0,8172.0,-2823.0,4341.0,1808.0
-11448.0,-7232.0,-6504.0,1580.0,-2992.0,-1768.0,-5404.0,-3348.0,13704.0,1739.0,-3548.0,1325.0,7700.0,10432.0,8224.0,-3056.0,4230.0,1145.0
-11152.0,-7076.0,-5500.0,1932.0,-2608.0,-1545.0,-3160.0,-120.0,18596.0,1293.0,-2057.0,190.0,7308.0,10024.0,10060.0,-3804.0,3523.0,831.0
-10512.0,-8084.0,-2320.0,45.0,-1786.0,-603.0,124.0,2712.0,18468.0,507.0,706.0,-1650.0,4400.0,7948.0,14156.0,-2740.0,1158.0,-50.0
-11120.0,-8620.0,-1248.0,-1639.0,1483.0,183.0,324.0,1428.0,16908.0,-1987.0,940.0,-190.0,4148.0,6104.0,13800.0,563.0,391.0,1520.0
-11264.0,-9264.0,-2092.0,-2137.0,1338.0,475.0,-3152.0,-388.0,14564.0,-1906.0,1070.0,487.0,5412.0,9124.0,11100.0,2220.0,-709.0,1433.0
-11552.0,-9092.0,-4604.0,126.0,993.0,569.0,-5424.0,-2376.0,13992.0,-1129.0,443.0,-692.0,8560.0,9332.0,7268.0,183.0,-433.0,-305.0
-11576.0,-7928.0,-6132.0,1393.0,294.0,251.0,-5576.0,-2656.0,14892.0,-193.0,-247.0,-1571.0,7660.0,10460.0,10420.0,-712.0,-18.0,-1461.0
-11636.0,-7000.0,-7228.0,1920.0,857.0,-27.0,-4864.0,-3276.0,16176.0,-777.0,-496.0,-1361.0,7640.0,11664.0,8604.0,642.0,-518.0,-931.0
-11556.0,-6984.0,-8280.0,1316.0,615.0,68.0,-4940.0,-4492.0,15960.0,-1567.0,-166.0,-647.0,7548.0,12452.0,8436.0,1784.0,-858.0,-328.0
