0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-684.0,-11136.0,12964.0,-2124.0,-1391.0,1210.0,7116.0,6452.0,13556.0,-1633.0,208.0,2522.0,8756.0,-1172.0,13440.0,2965.0,-1633.0,1353.0
-740.0,-11260.0,12288.0,-2389.0,-1591.0,1267.0,8268.0,6196.0,14584.0,-1421.0,-65.0,2881.0,8524.0,692.0,16600.0,2788.0,-628.0,1497.0
-912.0,-10700.0,12360.0,-3782.0,-2785.0,1898.0,10532.0,5448.0,16580.0,-3335.0,-482.0,4591.0,7444.0,6488.0,21964.0,6219.0,-2768.0,5216.0
-996.0,-11724.0,13556.0,-7077.0,-2969.0,4031.0,14052.0,4084.0,18376.0,-2374.0,169.0,7821.0,10296.0,-388.0,22712.0,10954.0,-10222.0,7736.0
-820.0,-11080.0,12964.0,-12514.0,-3361.0,6308.0,15508.0,5320.0,21184.0,-5250.0,1499.0,12623.0,7536.0,5124.0,21628.0,15740.0,-6988.0,6017.0
816.0,-13244.0,12880.0,-17111.0,-3926.0,9333.0,17196.0,6444.0,23204.0,-9153.0,5217.0,16188.0,8304.0,1332.0,23336.0,20888.0,-15724.0,8077.0
468.0,-14128.0,12628.0,-22388.0,-3657.0,12771.0,22248.0,6624.0,28396.0,-12652.0,10722.0,20324.0,2260.0,14860.0,27120.0,24590.0,-18680.0,20152.0
276.0,-16220.0,11116.0,-24822.0,-4835.0,16669.0,28404.0,3272.0,31088.0,-23539.0,15684.0,25595.0,3820.0,8096.0,24848.0,31549.0,-31344.0,32767.0
1732.0,-20296.0,10928.0,-31179.0,-5024.0,21996.0,29256.0,2004.0,25608.0,-29450.0,23724.0,32767.0,2084.0,6792.0,15068.0,27114.0,-26602.0,32767.0
3104.0,-25448.0,8724.0,-31990.0,-9440.0,27267.0,26756.0,-1912.0,14716.0,-28907.0,30458.0,32767.0,4116.0,6700.0,13200.0,29159.0,-32768.0,32767.0
3288.0,-24716.0,7308.0,-28095.0,-10583.0,30174.0,20364.0,-2216.0,5908.0,-19848.0,32767.0,32767.0,10608.0,2608.0,11868.0,18545.0,-30211.0,32767.0
2916.0,-23376.0,5672.0,-24748.0,-10929.0,30596.0,13572.0,-852.0,4932.0,-12472.0,28541.0,32767.0,16092.0,2676.0,15348.0,18933.0,-22691.0,28662.0
1744.0,-23076.0,4396.0,-22148.0,-12730.0,29309.0,11796.0,-1264.0,9380.0,-6019.0,22153.0,32767.0,11752.0,6556.0,8600.0,20796.0,-24837.0,32767.0
732.0,-22272.0,2364.0,-18458.0,-13725.0,29252.0,13356.0,-3620.0,14476.0,-4374.0,21070.0,32260.0,9380.0,7512.0,9308.0,16451.0,-24406.0,32767.0
-56.0,-22412.0,2420.0,-15263.0,-12998.0,30082.0,13488.0,-7248.0,12652.0,-7046.0,21146.0,32494.0,10292.0,4284.0,1732.0,15989.0,-20193.0,32767.0
-12.0,-21688.0,2016.0,-9136.0,-14282.0,29775.0,9508.0,-4184.0,10568.0,-3290.0,20392.0,31917.0,13932.0,2040.0,2220.0,12529.0,-16977.0,32767.0
-808.0,-16096.0,1728.0,-3511.0,-13209.0,29374.0,6492.0,-2400.0,10152.0,-1329.0,20151.0,30641.0,12956.0,2200.0,4872.0,12536.0,-15015.0,32767.0
-2316.0,-12904.0,1632.0,-3105.0,-12372.0,27654.0,3928.0,-580.0,9984.0,868.0,19956.0,29537.0,12688.0,-1884.0,5692.0,11123.0,-11852.0,32767.0
-3440.0,-10152.0,288.0,-6433.0,-11353.0,22936.0,-860.0,1248.0,8840.0,-2146.0,19305.0,28134.0,12508.0,-5328.0,2724.0,14698.0,-12601.0,31981.0
-4136.0,-9728.0,1660.0,-6565.0,-11852.0,18278.0,-2868.0,1644.0,6764.0,-679.0,19314.0,24343.0,9940.0,-4984.0,2720.0,12694.0,-8999.0,27096.0
-4996.0,-6792.0,2160.0,-5071.0,-13365.0,15440.0,-1652.0,404.0,5836.0,-1478.0,18162.0,23309.0,7120.0,-5860.0,2420.0,17210.0,-10170.0,25429.0
-4252.0,-7948.0,5120.0,-9630.0,-12136.0,14964.0,504.0,-64.0,5660.0,-3846.0,12557.0,23945.0,8056.0,-10700.0,472.0,14572.0,-8318.0,23850.0
-5728.0,-7060.0,6216.0,-7861.0,-13863.0,13109.0,-4936.0,5248.0,7388.0,-2943.0,10603.0,22393.0,6340.0,-8712.0,3016.0,26283.0,-14444.0,23145.0
-7120.0,-8572.0,5976.0,169.0,-6663.0,12289.0,-6356.0,7900.0,9552.0,-624.0,10529.0,19571.0,6232.0,-5308.0,-4920.0,1069.0,-25661.0,32767.0
-6664.0,-5440.0,7784.0,1635.0,-11221.0,11242.0,-6716.0,8136.0,9016.0,-1577.0,11816.0,15914.0,1124.0,-9648.0,-2092.0,23245.0,-9616.0,24978.0
-8008.0,-4116.0,11864.0,4191.0,-8519.0,9707.0,-7604.0,7312.0,6916.0,64.0,10607.0,12915.0,2056.0,-9484.0,8020.0,9521.0,-655.0,20621.0
-9008.0,-3300.0,14072.0,5358.0,-7406.0,9869.0,-5328.0,6968.0,9568.0,3641.0,9406.0,12469.0,4452.0,-15292.0,8676.0,10786.0,-812.0,20487.0
-9552.0,-5008.0,14492.0,1865.0,-9143.0,9934.0,-7400.0,12896.0,15628.0,6400.0,10139.0,10670.0,5508.0,-14092.0,10564.0,6933.0,-183.0,20197.0
-9644.0,-1884.0,15336.0,1610.0,-5555.0,9676.0,-9232.0,15440.0,18796.0,2914.0,11246.0,9410.0,8096.0,-19028.0,14988.0,7248.0,-2029.0,15798.0
-11048.0,-2240.0,15876.0,-3931.0,-5851.0,6864.0,-9872.0,16112.0,16956.0,-941.0,11100.0,7076.0,-4588.0,-32768.0,32767.0,-14848.0,-32768.0,1085.0
-12120.0,12852.0,29892.0,-31985.0,12345.0,-1194.0,-32188.0,32767.0,30788.0,-9345.0,8905.0,5827.0,-4768.0,10712.0,14684.0,-8559.0,-19647.0,-14038.0
-13072.0,3476.0,25284.0,-20376.0,-255.0,-7191.0,-13496.0,24168.0,6376.0,-14638.0,12253.0,-11331.0,-3380.0,-1696.0,5184.0,-5211.0,-3672.0,-14105.0
-9940.0,-7220.0,17696.0,-110.0,5010.0,-5703.0,-5752.0,5204.0,11812.0,-28254.0,-6236.0,-15267.0,-1840.0,-4960.0,268.0,459.0,9604.0,-9344.0
-13108.0,-14120.0,10748.0,3905.0,2378.0,-2788.0,1724.0,-13880.0,9036.0,-11260.0,1018.0,-10014.0,5404.0,-10176.0,5356.0,1214.0,14677.0,-4029.0
-11276.0,-13748.0,9220.0,5845.0,417.0,1522.0,-1104.0,-13548.0,12556.0,-2704.0,316.0,-2426.0,14988.0,-7968.0,8392.0,-1836.0,11936.0,2082.0
-9600.0,-13828.0,5680.0,5047.0,399.0,2348.0,-7076.0,-1872.0,21868.0,7663.0,7886.0,-654.0,15456.0,-3744.0,10640.0,-7871.0,3316.0,12237.0
